normalized_target_class,count,ratio
플라스틱 컵과 플라스틱 뚜껑,4,0.0008
컵과 뚜껑,4,0.0008
16개,4,0.0008
노란색과 초록색,4,0.0008
투명 플라스틱 컵과 뚜껑,4,0.0008
15개,4,0.0008
종이 상자와 종이 봉투,4,0.0008
투명한 페트병,4,0.0008
갈색 종이봉투,3,0.0006
위 세 가지 모두,3,0.0006
피자 상자,3,0.0006
"알루미늄 캔 1개, 플라스틱 병 1개",3,0.0006
종이컵과 플라스틱 컵,3,0.0006
투명한 비닐봉투,3,0.0006
뚜껑과 빨대가 모두 플라스틱으로 되어 있다.,3,0.0006
음료수 페트병,3,0.0006
플라스틱 뚜껑과 플라스틱 빨대,3,0.0006
얼음,3,0.0006
플라스틱 컵과 페트병,3,0.0006
비닐봉투,3,0.0006
바닥에 놓여 있음,3,0.0006
계란판과 종이상자,3,0.0006
종이 담배갑,3,0.0006
종이 포장재,3,0.0006
음료가 담긴 투명 컵과 뚜껑,3,0.0006
녹색,3,0.0006
스팸 캔,3,0.0006
종이 과자 상자,3,0.0006
플라스틱 컵과 캔,3,0.0006
18개,3,0.0006
생수병,3,0.0006
탄산음료 캔,3,0.0006
종이팩 음료 용기,3,0.0006
"캔 1개, 병 2개",3,0.0006
투명 비닐봉지,3,0.0006
투명 컵과 빨대,3,0.0006
갈색,3,0.0006
투명한 플라스틱 컵과 노란 빨대,3,0.0006
우유팩,3,0.0006
플라스틱 컵과 종이 컵홀더,3,0.0006
금속(알루미늄 캔),3,0.0006
유리컵,3,0.0006
코카콜라 캔,3,0.0006
종이컵과 플라스틱 뚜껑,3,0.0006
종이류 박스,3,0.0006
물병,3,0.0006
50개입,3,0.0006
종이 재질의 컵홀더,3,0.0006
커피 컵 뚜껑,3,0.0006
초록색과 흰색,2,0.0004
종이컵과 캔,2,0.0004
플라스틱 병과 플라스틱 용기,2,0.0004
박스 형태,2,0.0004
플라스틱 포장재 2개,2,0.0004
검은색 플라스틱 포크,2,0.0004
"유리병 1개, 플라스틱 병 1개",2,0.0004
포카리 스웨트,2,0.0004
플라스틱과 종이,2,0.0004
"플라스틱 병 1개, 종이 상자 1개",2,0.0004
Kurly,2,0.0004
플라스틱 파우치,2,0.0004
코카콜라 페트병,2,0.0004
사과 주스 캔,2,0.0004
옥수수 통조림 캔,2,0.0004
음료가 담긴 투명 컵과 빨대,2,0.0004
투명한 플라스틱 뚜껑,2,0.0004
"캔 2개, 금속 재질",2,0.0004
맥주,2,0.0004
투명한 플라스틱 컵 두 개,2,0.0004
알루미늄 캔 1개,2,0.0004
파란색 립밤 케이스,2,0.0004
종이 조각,2,0.0004
비닐봉지와 뽁뽁이,2,0.0004
투명한 봉투,2,0.0004
흰색 손잡이가 달린 용기,2,0.0004
계란판과 박스,2,0.0004
종이와 종이상자,2,0.0004
삼양 불닭볶음면,2,0.0004
없음,2,0.0004
컵과 빨대,2,0.0004
노란색 상자,2,0.0004
분홍색과 노란색,2,0.0004
투명 플라스틱 용기와 페트병,2,0.0004
투명한 물병,2,0.0004
노란색 빨대가 꽂힌 투명 컵,2,0.0004
초록색 과자 상자,2,0.0004
"플라스틱 컵 1개, 빨대 1개",2,0.0004
참치 캔,2,0.0004
빨간색 과자 상자,2,0.0004
소주병과 맥주병,2,0.0004
박스 상자,2,0.0004
빨간 빨대가 꽂힌 투명 컵,2,0.0004
플라스틱 포크,2,0.0004
뽁뽁이(에어캡),2,0.0004
길가의 낙엽 위,2,0.0004
커피 컵과 빨대,2,0.0004
종이 쇼핑백,2,0.0004
빨대와 컵 뚜껑,2,0.0004
투명 컵과 노란색 빨대,2,0.0004
스타벅스 음료 운반용 종이 케이스,2,0.0004
플라스틱 재질의 포장재,2,0.0004
복숭아 맛,2,0.0004
투명한 흰색,2,0.0004
빨간색 음료 캔,2,0.0004
파란색 상자,2,0.0004
플라스틱 병 1개,2,0.0004
비스킷 상자,2,0.0004
플라스틱 접시,2,0.0004
플라스틱 펌프 용기,2,0.0004
커피 컵과 뚜껑,2,0.0004
플라스틱 계란판,2,0.0004
포카리 스웨트 페트병,2,0.0004
종이 재질의 과자 상자,2,0.0004
노란색과 빨간색,2,0.0004
책상 위 중앙,2,0.0004
바나나맛,2,0.0004
갈색 종이 상자,2,0.0004
초코파이 상자,2,0.0004
투명한 분홍색,2,0.0004
콜라 캔,2,0.0004
에너지 음료 캔,2,0.0004
흰색 종이 상자,2,0.0004
초콜릿 상자,2,0.0004
검은색 플라스틱 용기,2,0.0004
HARIBO,2,0.0004
빼빼로 상자,2,0.0004
뚜껑과 빨대가 있는 플라스틱 컵,2,0.0004
캔이 찌그러져 있다,2,0.0004
소주병,2,0.0004
종이와 플라스틱 복합재질,2,0.0004
종이 상자와 종이 쇼핑백,2,0.0004
"플라스틱 병 1개, 알루미늄 캔 1개",2,0.0004
비닐봉지,2,0.0004
담배갑,2,0.0004
빨대와 투명 컵,2,0.0004
종이 달걀판,2,0.0004
맥주 캔,2,0.0004
종이와 골판지,2,0.0004
24개,2,0.0004
30개,2,0.0004
4장,2,0.0004
투명한 뚜껑과 노란색 빨대,2,0.0004
우유,2,0.0004
컵 뚜껑,2,0.0004
플라스틱 비닐 포장재,2,0.0004
광고 전단지,2,0.0004
25개,2,0.0004
금속류,2,0.0004
캔류,2,0.0004
포카리스웨트,2,0.0004
투명한 뚜껑과 빨대가 있는 컵,2,0.0004
플라스틱 컵과 종이팩,2,0.0004
빨대가 꽂힌 투명 플라스틱 컵,2,0.0004
알약 포장지,2,0.0004
흰색 상자,2,0.0004
컵 뚜껑과 빨대,2,0.0004
플라스틱 페트병,2,0.0004
파란색 음료 캔,2,0.0004
종이 계란판,2,0.0004
텀블러,2,0.0004
립밤 용기,1,0.0002
제로 슈가 라임 맛,1,0.0002
20개 이상,1,0.0002
딸기와 사람들 그림,1,0.0002
칭따오,1,0.0002
분홍색과 하늘색,1,0.0002
신문과 종이박스,1,0.0002
종이(골판지 상자),1,0.0002
초록색 철망 울타리 앞 바닥에 놓여 있다.,1,0.0002
플라스틱 통,1,0.0002
검은 통 안,1,0.0002
Werther`s Original 캔디 포장지,1,0.0002
투명한 생수병,1,0.0002
창문턱 위,1,0.0002
검은색 통 위,1,0.0002
종이 담배갑 2개,1,0.0002
빨간색과 초록색 상자,1,0.0002
인도 위,1,0.0002
초코 과자 상자,1,0.0002
기픈 물 DEEP WATER 종이팩,1,0.0002
책상 왼쪽 창가에 있다,1,0.0002
인쇄된 안내문,1,0.0002
뚜껑과 빨대가 모두 플라스틱 재질이다.,1,0.0002
벽 옆 바닥에 놓여 있다,1,0.0002
음료수 캔과 맥주 캔,1,0.0002
초록색과 노란색,1,0.0002
KFC 종이 봉투,1,0.0002
격자무늬가 있는 종이,1,0.0002
플라스틱 생수병,1,0.0002
종이류와 종이상자,1,0.0002
흰색과 주황색의 종이 용기,1,0.0002
창문 옆 선반 위,1,0.0002
나무 밑 흙 위에 누워 있다.,1,0.0002
Cafe`la Size Up,1,0.0002
담배꽁초,1,0.0002
쿠팡 박스,1,0.0002
쓰레기통 옆에 기대어 있다,1,0.0002
치약 상자,1,0.0002
뚜껑이 플라스틱이고 빨대가 꽂혀 있다.,1,0.0002
책상 아래 바닥에 놓여 있다.,1,0.0002
마커 8색이 들어있는 플라스틱 케이스,1,0.0002
"초록색 포장지는 플라스틱, 갈색 종이는 종이류",1,0.0002
플라스틱 컵 한 개,1,0.0002
흰색 플라스틱 통,1,0.0002
커피 종이컵,1,0.0002
치약 튜브와 칫솔,1,0.0002
알루미늄 캔 - 금속류,1,0.0002
유리와 플라스틱,1,0.0002
스팸 통조림,1,0.0002
플라스틱 의자,1,0.0002
SPAM 종이 쇼핑백,1,0.0002
과일 그림이 그려진 종이 상자,1,0.0002
플라스틱과 금속이 혼합된 재질,1,0.0002
플라스틱 보드 마커,1,0.0002
노란색 리코리스 박스,1,0.0002
음료수 PET 병,1,0.0002
음료 컵 뚜껑,1,0.0002
신문지와 골판지 박스,1,0.0002
펩시 캔,1,0.0002
종이 상자와 플라스틱 봉투,1,0.0002
음료가 담긴 투명한 플라스틱 컵,1,0.0002
화분 옆 작은 투명 플라스틱 병,1,0.0002
나무 주변 땅 위,1,0.0002
캔 분리수거함,1,0.0002
환타,1,0.0002
갈색 종이 쇼핑백,1,0.0002
책상 중앙,1,0.0002
검은 플라스틱 상자 위,1,0.0002
종이로 된 가격표,1,0.0002
"종이컵은 종이류, 뚜껑은 플라스틱류",1,0.0002
투명한 플라스틱 용기와 뚜껑,1,0.0002
플라스틱과 유리,1,0.0002
과일주스 캔,1,0.0002
분홍색 종이컵 홀더,1,0.0002
흰색 벽 앞,1,0.0002
스타벅스 종이컵 홀더,1,0.0002
비닐 플라스틱,1,0.0002
종이컵과 플라스틱 병,1,0.0002
뚜껑이 있는 투명한 플라스틱 컵,1,0.0002
가운데와 오른쪽의 플라스틱 컵,1,0.0002
플라스틱 뚜껑과 빨대가 있는 컵 1개,1,0.0002
흰색 플라스틱 쟁반,1,0.0002
파란색 플라스틱 껌 케이스,1,0.0002
플라스틱 컵과 플라스틱 병,1,0.0002
흰색과 초록색,1,0.0002
빨간색과 흰색이 섞인 용기,1,0.0002
하비스트 쿠키 상자,1,0.0002
보라색 플라스틱 볼펜,1,0.0002
디퓨저 병,1,0.0002
종이컵과 컵홀더,1,0.0002
금속 캔 음료,1,0.0002
플라스틱 숟가락과 페트병,1,0.0002
종이팩 2개,1,0.0002
보도블록 위에 놓여 있다,1,0.0002
유리병과 플라스틱 병,1,0.0002
플라스틱 에어캡(뽁뽁이),1,0.0002
투명한 플라스틱 컵 뚜껑,1,0.0002
검정,1,0.0002
몬스터 에너지 음료 캔,1,0.0002
접시 바로 앞쪽,1,0.0002
투명 플라스틱 도시락 용기,1,0.0002
바닥 중앙에 쌓여 있음,1,0.0002
플라스틱 병 2개,1,0.0002
500mL,1,0.0002
주황색 뚜껑과 투명한 병,1,0.0002
초콜릿 우유 종이팩,1,0.0002
냄비 뚜껑,1,0.0002
검정색과 파란색,1,0.0002
흰색 약병 용기,1,0.0002
잎사귀 그림이 그려진 액자,1,0.0002
롯데 마가렛트 오리지널 쿠키 상자,1,0.0002
박스와 종이책자,1,0.0002
바닥 위,1,0.0002
금속 상자,1,0.0002
1000mL,1,0.0002
스티로폼 상자 옆에 투명 비닐봉지 안에 모여 있다.,1,0.0002
투명한 플라스틱 물병,1,0.0002
플라스틱 펜,1,0.0002
McCOL 500mL x 6 상자,1,0.0002
종이로 만든 스타벅스 컵 홀더,1,0.0002
투명 플라스틱 뚜껑,1,0.0002
알루미늄 포장지,1,0.0002
플라스틱 봉지와 금속 포장지,1,0.0002
초코파이 상자와 타르틀렛 상자,1,0.0002
검은색 포크,1,0.0002
주스팩,1,0.0002
플라스틱 병과 종이팩,1,0.0002
나무 오른쪽의 흰 상자 옆에 세워진 판지들,1,0.0002
두 용기 모두 종이류,1,0.0002
파란색 알루미늄 껌 케이스,1,0.0002
스킨케어용 튜브형 용기,1,0.0002
모두 종이 재질이다,1,0.0002
작은 흰색 뚜껑이 있는 병,1,0.0002
콜라 페트병과 플라스틱 컵,1,0.0002
"발포 스티로폼은 플라스틱, 플라스틱 용기는 플라스틱",1,0.0002
플라스틱 재질의 용기,1,0.0002
0.25L,1,0.0002
종이컵과 플라스틱 빨대,1,0.0002
검은색 금속 캔,1,0.0002
"알루미늄 캔은 금속, 골판지 상자는 종이",1,0.0002
은색과 주황색 그릇,1,0.0002
오른쪽 바닥에 쌓여 있다,1,0.0002
철제 난간 위 오른쪽 끝,1,0.0002
가방 옆에 있다,1,0.0002
분홍색과 빨간색,1,0.0002
골판지 상자와 종이봉투,1,0.0002
캔 음료,1,0.0002
종이팩 바나나우유,1,0.0002
록스 글라스와 하이볼 글라스,1,0.0002
소주병과 플라스틱 음료병,1,0.0002
포도 주스,1,0.0002
종이책,1,0.0002
종이 상자와 종이 카드,1,0.0002
투명한 플라스틱 재질에 돔형 뚜껑,1,0.0002
"투명한 플라스틱 컵과 뚜껑, 빨대",1,0.0002
흰색 접이식 휴대폰 거치대,1,0.0002
종이 박스 포장재,1,0.0002
검은색과 하늘색,1,0.0002
하얀색 뚜껑이 있는 약병 용기,1,0.0002
플라스틱과 비닐류,1,0.0002
천으로 된 파우치 옆에 놓여 있다.,1,0.0002
관목 사이 땅 위에,1,0.0002
스탠리 텀블러의 뚜껑,1,0.0002
투명한 비닐 포장재,1,0.0002
투명 용기,1,0.0002
흰색과 검은색,1,0.0002
종이 및 골판지,1,0.0002
"플라스틱 뚜껑 1개, 빨대 1개",1,0.0002
물,1,0.0002
"빨간색, 흰색, 파란색, 초록색",1,0.0002
음료 캔 뚜껑,1,0.0002
유리 물병,1,0.0002
종이 재질의 컵 홀더가 붙은 투명 컵,1,0.0002
종이로 된 책과 노트,1,0.0002
투명 직사각형 용기 뚜껑,1,0.0002
HARIBO 젤리 봉지,1,0.0002
플라스틱 컵과 플라스틱 용기,1,0.0002
멀티비타민 슈퍼샷 병,1,0.0002
빨간색 플라스틱 뚜껑이 있는 금속 용기,1,0.0002
파란색 바구니,1,0.0002
"캔은 금속, 상자는 종이",1,0.0002
주황색 스티커,1,0.0002
고무,1,0.0002
간장 병,1,0.0002
빨간색 비닐봉투,1,0.0002
플라스틱 병뚜껑,1,0.0002
종이로 된 김 상자,1,0.0002
몬스터 에너지 캔,1,0.0002
요거트 용기,1,0.0002
칫솔 케이스,1,0.0002
종이컵과 종이 받침대,1,0.0002
종이 및 종이팩,1,0.0002
말차 음료,1,0.0002
바위 위,1,0.0002
플라스틱 재질의 상자,1,0.0002
"왼쪽 컵의 빨대는 플라스틱, 오른쪽 컵의 빨대는 종이",1,0.0002
플라스틱 과자 봉지,1,0.0002
3권,1,0.0002
플라스틱 젓가락,1,0.0002
박스 형태로 접혀서 쌓여 있음,1,0.0002
큰 박스,1,0.0002
딸기 맛,1,0.0002
플라스틱 병 표면에 물방울이 맺혀 있다.,1,0.0002
캔이 구겨져 있다,1,0.0002
오른쪽 아래 칸,1,0.0002
검은색 뚜껑이 있는 음료수 병,1,0.0002
종이컵 뚜껑,1,0.0002
펩시 제로 슈거 라임 플래버 캔,1,0.0002
플라스틱 용기 두 개 모두,1,0.0002
스티로폼 용기 3개,1,0.0002
검은색 캔,1,0.0002
투명 플라스틱 포장 용기,1,0.0002
플라스틱 병 1개와 유리 병 1개,1,0.0002
흰색과 분홍색,1,0.0002
계단 위에 검은색 뚜껑이 있는 용기,1,0.0002
컴퓨터 모니터 앞,1,0.0002
두 상자 모두 재활용 가능,1,0.0002
투명한 플라스틱 반찬 용기,1,0.0002
종이 박스와 비닐 포장재,1,0.0002
종이박스와 종이봉투,1,0.0002
플라스틱 튜브 2개,1,0.0002
슈퍼 사워 웜스 박스,1,0.0002
전단지와 광고지,1,0.0002
하얀색 플라스틱 포장지,1,0.0002
모두 종이류로 분류된다,1,0.0002
플라스틱 재질의 지퍼백,1,0.0002
"알루미늄 캔은 캔류, 플라스틱 컵은 플라스틱류로 분리 배출한다.",1,0.0002
검은색 커피 종이컵,1,0.0002
손 세정제 용기,1,0.0002
문 앞 바닥에 놓여 있다,1,0.0002
초록 매실 스파클링 음료수 병과 흰색 종이컵 뚜껑 둘 다,1,0.0002
기둥 왼쪽 바닥에 놓여 있음,1,0.0002
"뚜껑은 투명, 빨대는 초록색",1,0.0002
초코하임 과자 봉지,1,0.0002
타이레놀 약 상자,1,0.0002
빨간색 에너지 음료 캔,1,0.0002
커피가 담긴 투명 플라스틱 컵,1,0.0002
파란색과 흰색 뚜껑 혼합,1,0.0002
컵받침 종이,1,0.0002
"플라스틱 컵 3개, 빨대 4개",1,0.0002
0개,1,0.0002
노란색과 흰색이 섞인 카드 박스,1,0.0002
전구,1,0.0002
플라스틱 바구니,1,0.0002
파란색과 빨간색,1,0.0002
뚜껑이 있는 사각 용기,1,0.0002
복숭아 맛 음료,1,0.0002
오른쪽의 TEAZLE 음료 병,1,0.0002
에너지 드링크 캔,1,0.0002
플라스틱 뚜껑 2개,1,0.0002
치즈 케이크 상자,1,0.0002
파란색과 분홍색,1,0.0002
플라스틱 포장된 물티슈,1,0.0002
"왼쪽 병은 파란색, 오른쪽 병은 초록색 뚜껑이다.",1,0.0002
초콜릿과 과자 포장지,1,0.0002
초록색 음료수 병,1,0.0002
파란색과 연파란색,1,0.0002
은박 포장재가 있는 상자 안,1,0.0002
뚜껑이 있고 빨대가 노란색이다.,1,0.0002
검은색 플라스틱 씨앗 트레이 2개,1,0.0002
종이컵과 종이상자,1,0.0002
빨간색 띠가 감긴 흰색 용기,1,0.0002
책상 오른쪽 위 컴퓨터 모니터 옆,1,0.0002
종이 노트,1,0.0002
콤부차 병,1,0.0002
나무 옆 흙 위,1,0.0002
나무 아래 흙 위,1,0.0002
검은콩 두유,1,0.0002
투명한 뚜껑과 빨대가 있는 음료 컵,1,0.0002
플라스틱 병 두 개,1,0.0002
침대 옆 바닥 위,1,0.0002
뚜껑이 있고 빨대가 꽂혀 있다.,1,0.0002
생수,1,0.0002
피스타치오,1,0.0002
망고맛,1,0.0002
페퍼민트 캔디 틴 케이스,1,0.0002
호퍼스 영화 포스터가 붙은 원통형 용기,1,0.0002
빨간색 캔,1,0.0002
투명한 음료 컵과 빨대,1,0.0002
21개,1,0.0002
주황색 콘 옆 바닥에 있다.,1,0.0002
플라스틱 용기와 비닐 포장재,1,0.0002
토레타 제로,1,0.0002
노란색 종이 포장지,1,0.0002
음료 컵의 겉면 포장지,1,0.0002
불에 타는 소화기 옆에 있는 구겨진 종이,1,0.0002
즉석밥 컵 용기,1,0.0002
음료 컵과 빨대,1,0.0002
종이컵 오른쪽에 있음,1,0.0002
코카콜라 제로 카페인,1,0.0002
플라스틱류,1,0.0002
편지봉투,1,0.0002
형광등,1,0.0002
계란판과 상자,1,0.0002
무선 이어폰 케이스,1,0.0002
노란색 사탕 봉지,1,0.0002
노란색과 흰색이 섞인 종이봉투,1,0.0002
초록매실 음료병,1,0.0002
나무 옆 바닥에 놓여 있다.,1,0.0002
종이 박스와 종이 완충재,1,0.0002
폴리에틸렌(PE),1,0.0002
화장품 토너 병,1,0.0002
초코하임 과자 상자,1,0.0002
플라스틱 병 1개와 캔 1개,1,0.0002
"왼쪽 컵 1개, 오른쪽 컵 1개",1,0.0002
검은색 용기와 투명한 용기들,1,0.0002
테이블 위,1,0.0002
종이 전단지,1,0.0002
투명 컵,1,0.0002
유리 컵,1,0.0002
오른쪽 나뭇가지 아래,1,0.0002
녹색 페트병과 투명 플라스틱 컵,1,0.0002
사과맛 사이다 캔,1,0.0002
매일두유,1,0.0002
박스와 펼쳐진 골판지,1,0.0002
참장 양념 통조림 용기,1,0.0002
스테인리스 컵,1,0.0002
술병,1,0.0002
검정색과 흰색,1,0.0002
플라스틱 요구르트 병,1,0.0002
부분적으로 찢어진 종이,1,0.0002
캐비닛 안쪽 오른쪽에 있는 펌프 용기,1,0.0002
초코쉐이크 컵과 빨대,1,0.0002
"왼쪽 4L, 오른쪽 4L",1,0.0002
삼성 쇼핑백,1,0.0002
책상 오른쪽 위,1,0.0002
스타벅스 종이컵 케이스,1,0.0002
옥수수염차,1,0.0002
음료수 캔과 식품 캔,1,0.0002
종이팩 주스 상자,1,0.0002
종이 상자와 플라스틱 튜브,1,0.0002
영양소 파이 상자,1,0.0002
Kid-O,1,0.0002
Maxim 커피믹스 박스,1,0.0002
투명한 플라스틱 봉투,1,0.0002
책상 위 오렌지 껍질 옆,1,0.0002
은색과 분홍색 포장재,1,0.0002
오른쪽 음료팩,1,0.0002
책자와 종이,1,0.0002
창가 바닥에 놓여 있다.,1,0.0002
펩시 페트병,1,0.0002
"라면 용기: 플라스틱, 만두 포장재: 비닐",1,0.0002
플라스틱 생수병 2개,1,0.0002
Almond Breeze 상자,1,0.0002
왼쪽의 골판지 조각,1,0.0002
책상 오른쪽 모니터 앞,1,0.0002
플라스틱 튜브 형태의 치약 용기,1,0.0002
길가에 세워진 박스 안,1,0.0002
파란색 스프레이 병,1,0.0002
투명한 원형 뚜껑과 용기,1,0.0002
핑크색 빨대컵,1,0.0002
보라색 상자,1,0.0002
티즐 제로 피치우롱티 플라스틱 병,1,0.0002
투명 페트병과 투명 플라스틱 컵,1,0.0002
"노란색, 갈색, 초록색, 흰색",1,0.0002
친환경 종이 용기,1,0.0002
1100 x 2000 mm,1,0.0002
플라스틱 약통,1,0.0002
커피 컵과 컵 홀더,1,0.0002
나무 선반 위,1,0.0002
플라스틱 지퍼백 형태의 포장재,1,0.0002
전봇대 옆,1,0.0002
알루미늄 캔 두 개,1,0.0002
알루미늄 호일,1,0.0002
모니터 클리닝 일회용 티슈 상자,1,0.0002
빨간색 종이 띠,1,0.0002
포스트잇 메모지,1,0.0002
뚜껑,1,0.0002
흰색 슬리퍼,1,0.0002
포카리 스웨트 병,1,0.0002
사진 중앙과 오른쪽 바닥에 쌓여 있다,1,0.0002
TEAZLE 음료수 병,1,0.0002
검은색 사각형 용기,1,0.0002
타이어와 종이 상자,1,0.0002
나무 가지 사이 땅 위,1,0.0002
KFC 종이봉투,1,0.0002
"플라스틱 용기 1개, 숟가락 1개",1,0.0002
플라스틱 병과 캔,1,0.0002
벤치 앞 바닥에 있다.,1,0.0002
검은색 플라스틱 숟가락과 종이 재질 용기,1,0.0002
건전지 4개,1,0.0002
검은색 용기,1,0.0002
초록색과 검은색,1,0.0002
일회용 커피 컵 뚜껑,1,0.0002
뚜껑과 빨대가 플라스틱으로 되어 있다,1,0.0002
흰색 바구니,1,0.0002
삼성 복사용지 박스,1,0.0002
휴지심,1,0.0002
"컵은 투명한 분홍색, 빨대는 분홍색",1,0.0002
우동 용기,1,0.0002
하얀색 종이봉투,1,0.0002
종이봉투와 종이상자,1,0.0002
HARIBO 골드베렌 통,1,0.0002
플라스틱 재질의 대야,1,0.0002
14,1,0.0002
파란색과 노란색이 있는 기둥 주위,1,0.0002
은색 바탕에 분홍색 손잡이,1,0.0002
음식 포장 상자,1,0.0002
금속 캔 두 개,1,0.0002
종이(종이팩),1,0.0002
녹색 캡이 달린 알루미늄 튜브,1,0.0002
검은색 립밤 용기,1,0.0002
접힌 흰색 종이,1,0.0002
플라스틱 용기 3개,1,0.0002
쓰레기 봉투 옆에 놓여 있다,1,0.0002
플라스틱 컵에 핑크색 라벨이 붙어 있다.,1,0.0002
투명한 플라스틱 뚜껑이 있는 음료 컵,1,0.0002
1.25L,1,0.0002
녹색 캔 음료수,1,0.0002
플라스틱 빨대와 포장지,1,0.0002
계란판과 종이박스,1,0.0002
"두 컵 모두 플라스틱 재질이며, 노란색 빨대가 꽂혀 있다.",1,0.0002
모두 플라스틱 재질이다,1,0.0002
플라스틱 용기와 뚜껑,1,0.0002
닥터 페퍼,1,0.0002
종이 재질의 안내문,1,0.0002
덴타탁 액티브 상자,1,0.0002
주황색 바구니,1,0.0002
밀키스 캔,1,0.0002
플라스틱 스프레이 병 2개,1,0.0002
플라스틱 컵과 빨대가 각각 한 개씩 있다.,1,0.0002
플라스틱 상자,1,0.0002
플라스틱 캔디 포장지,1,0.0002
계란판과 피자 상자,1,0.0002
포테토칩 봉지는 플라스틱 재질로 재활용 가능하다.,1,0.0002
종이 냅킨,1,0.0002
고양이 화장실,1,0.0002
바닥에 펼쳐진 판지 위,1,0.0002
빨간 쓰레받기,1,0.0002
파란색 빨대,1,0.0002
컵라면 용기 겉면 종이 포장,1,0.0002
비타민C 상자,1,0.0002
프링글스 감자칩 캔,1,0.0002
종이상자 2개,1,0.0002
콜라겐 샴푸 병,1,0.0002
빨간색 원통형 포장지,1,0.0002
노란색 뚜껑이 있는 금속 용기,1,0.0002
금속 텀블러,1,0.0002
흰색 플라스틱 컵,1,0.0002
빨간색과 은색,1,0.0002
립 케어 스틱,1,0.0002
플라스틱 용기 뚜껑,1,0.0002
플라스틱 투명 용기,1,0.0002
우생장갑 상자,1,0.0002
투명한 아보카도 포장 용기,1,0.0002
"플라스틱 컵에는 빨대가 꽂혀 있고, 컵 겉면에 종이 재질의 띠가 감겨 있다.",1,0.0002
검은색 자동차 앞 바퀴 옆,1,0.0002
플라스틱 컵 2개,1,0.0002
코카콜라 빈 플라스틱 병,1,0.0002
플라스틱 컵 1개와 빨대 1개,1,0.0002
투명한 뚜껑이 있는 플라스틱 용기,1,0.0002
비닐류,1,0.0002
커피 페트병,1,0.0002
꿀홍삼 음료,1,0.0002
플라스틱 통과 뚜껑,1,0.0002
하얀 플라스틱 병과 투명 플라스틱 포장재,1,0.0002
플라스틱 파일 홀더,1,0.0002
서울우유 100%,1,0.0002
