raw_label,normalized_label,count,group_size
검은색 사각형 용기,검은색 사각형 용기,1,1
검은색 숟가락 2개,검은색 숟가락 2개,1,1
검은색 용기,검은색 용기,1,1
검은색 용기와 투명한 용기들,검은색 용기와 투명한 용기들,1,1
검은색 자동차 앞 바퀴 옆,검은색 자동차 앞 바퀴 옆,1,1
검은색 캔,검은색 캔,1,1
검은색 커피 스틱 포장 박스,검은색 커피 스틱 포장 박스,1,1
검은색 커피 종이컵,검은색 커피 종이컵,1,1
검은색 통 위,검은색 통 위,1,1
검은색 포크,검은색 포크,1,1
검은색 플라스틱 도시락 용기,검은색 플라스틱 도시락 용기,1,1
검은색 플라스틱 숟가락과 종이 재질 용기,검은색 플라스틱 숟가락과 종이 재질 용기,1,1
검은색 플라스틱 씨앗 트레이 2개,검은색 플라스틱 씨앗 트레이 2개,1,1
검은색 플라스틱 용기,검은색 플라스틱 용기,2,1
검은색 플라스틱 펜,검은색 플라스틱 펜,1,1
검은색 플라스틱 포크,검은색 플라스틱 포크,2,1
검은색과 하늘색,검은색과 하늘색,1,1
"검은색은 플라스틱, 노란색은 플라스틱","검은색은 플라스틱, 노란색은 플라스틱",1,1
검은콩 두유,검은콩 두유,1,1
검정,검정,1,1
"검정, 분홍, 파랑","검정, 분홍, 파랑",1,1
검정색과 갈색,검정색과 갈색,1,1
검정색과 파란색,검정색과 파란색,1,1
검정색과 흰색,검정색과 흰색,1,1
격자무늬가 있는 종이,격자무늬가 있는 종이,1,1
계단 옆 바닥에 쌓여 있다,계단 옆 바닥에 쌓여 있다,1,1
계단 위 왼쪽 모서리에 놓여 있다.,계단 위 왼쪽 모서리에 놓여 있다.,1,1
계단 위에 검은색 뚜껑이 있는 용기,계단 위에 검은색 뚜껑이 있는 용기,1,1
계란 상자,계란 상자,1,1
계란판,계란판,12,1
계란판과 박스,계란판과 박스,2,1
계란판과 상자,계란판과 상자,1,1
계란판과 종이 상자,계란판과 종이 상자,1,1
계란판과 종이박스,계란판과 종이박스,1,1
계란판과 종이상자,계란판과 종이상자,3,1
계란판과 피자 상자,계란판과 피자 상자,1,1
고무,고무,1,1
고소미 과자 상자,고소미 과자 상자,1,1
고양이 화장실,고양이 화장실,1,1
고추장,고추장,1,1
고추장 통,고추장 통,1,1
골판지 박스,골판지 박스,1,1
골판지 상자,골판지 상자,5,1
골판지 상자와 종이 쇼핑백,골판지 상자와 종이 쇼핑백,1,1
골판지 상자와 종이봉투,골판지 상자와 종이봉투,1,1
골판지 조각,골판지 조각,1,1
과일 그림이 그려진 종이 상자,과일 그림이 그려진 종이 상자,1,1
과일주스 캔,과일주스 캔,1,1
과자 봉지,과자 봉지,4,1
과자 상자,과자 상자,7,1
관목 사이 땅 위에,관목 사이 땅 위에,1,1
광고 전단지,광고 전단지,2,1
금색,금색,1,1
금속,금속,48,1
금속 상자,금속 상자,1,1
금속 캔 1개,금속 캔 1개,1,1
금속 캔 두 개,금속 캔 두 개,1,1
금속 캔 용기,금속 캔 용기,1,1
금속 캔 음료,금속 캔 음료,1,1
금속 캔 형태의 용기,금속 캔 형태의 용기,1,1
금속 캔은 빨간색과 금색이 섞여 있다.,금속 캔은 빨간색과 금색이 섞여 있다.,1,1
금속 케이스,금속 케이스,1,1
금속 텀블러,금속 텀블러,1,1
금속 포일,금속 포일,1,1
금속(알루미늄 캔),금속(알루미늄 캔),3,1
금속(캔),금속(캔),4,1
금속류,금속류,2,1
금속 캔,금속캔,34,1
기둥 왼쪽 바닥에 놓여 있음,기둥 왼쪽 바닥에 놓여 있음,1,1
기분 물 DEEP WATER 종이팩,기분 물 DEEP WATER 종이팩,1,1
기픈 물 DEEP WATER 종이팩,기픈 물 DEEP WATER 종이팩,1,1
길가에 세워진 박스 안,길가에 세워진 박스 안,1,1
길가의 낙엽 위,길가의 낙엽 위,2,1
김밥,김밥,1,1
깨진 유리판,깨진 유리판,1,1
꿀홍삼 음료,꿀홍삼 음료,1,1
끈으로 묶여 있음,끈으로 묶여 있음,1,1
나무 가지 사이 땅 위,나무 가지 사이 땅 위,1,1
나무 밑 흙 위에 누워 있다.,나무 밑 흙 위에 누워 있다.,1,1
나무 선반 아래 바닥에 있는 흰색 용기,나무 선반 아래 바닥에 있는 흰색 용기,1,1
나무 선반 위,나무 선반 위,1,1
나무 아래 땅 위,나무 아래 땅 위,1,1
나무 아래 흙 위,나무 아래 흙 위,1,1
나무 옆 땅바닥에 쌓여 있다,나무 옆 땅바닥에 쌓여 있다,1,1
나무 옆 바닥에 놓여 있다.,나무 옆 바닥에 놓여 있다.,1,1
나무 옆 흙 위,나무 옆 흙 위,1,1
나무 오른쪽의 흰 상자 옆에 세워진 판지들,나무 오른쪽의 흰 상자 옆에 세워진 판지들,1,1
나무 젓가락 두 개,나무 젓가락 두 개,1,1
나무 조각,나무 조각,1,1
나무 주변 땅 위,나무 주변 땅 위,1,1
나무 테이블 왼쪽,나무 테이블 왼쪽,1,1
냄비 뚜껑,냄비 뚜껑,1,1
네 장 이상,네 장 이상,1,1
노란 뚜껑의 금속 캔,노란 뚜껑의 금속 캔,1,1
노란 벽 앞 테이블 위,노란 벽 앞 테이블 위,1,1
노란 빨대가 꽂힌 투명 컵,노란 빨대가 꽂힌 투명 컵,1,1
노란색,노란색,35,1
노란색 과자 상자,노란색 과자 상자,1,1
노란색 뚜껑과 투명한 병,노란색 뚜껑과 투명한 병,1,1
노란색 뚜껑이 있는 금속 용기,노란색 뚜껑이 있는 금속 용기,1,1
노란색 뚜껑이 있는 초록색 플라스틱 용기,노란색 뚜껑이 있는 초록색 플라스틱 용기,1,1
노란색 리코리스 박스,노란색 리코리스 박스,1,1
노란색 바구니,노란색 바구니,1,1
노란색 빨대,노란색 빨대,6,1
노란색 빨대가 꽂힌 투명 컵,노란색 빨대가 꽂힌 투명 컵,2,1
노란색 사탕 봉지,노란색 사탕 봉지,1,1
노란색 상자,노란색 상자,2,1
노란색 상자 포장재,노란색 상자 포장재,1,1
노란색 알루미늄 용기,노란색 알루미늄 용기,1,1
노란색 종이 포장지,노란색 종이 포장지,1,1
노란색 캔,노란색 캔,1,1
노란색 풀 튜브,노란색 풀 튜브,1,1
노란색 플라스틱 빨대,노란색 플라스틱 빨대,1,1
"노란색, 갈색, 초록색, 흰색","노란색, 갈색, 초록색, 흰색",1,1
노란색과 분홍색,노란색과 분홍색,10,1
노란색과 빨간색,노란색과 빨간색,2,1
노란색과 빨간색이 섞인 사각형 용기,노란색과 빨간색이 섞인 사각형 용기,1,1
노란색과 초록색,노란색과 초록색,4,1
노란색과 파란색,노란색과 파란색,1,1
노란색과 흰색이 섞인 종이 포장지,노란색과 흰색이 섞인 종이 포장지,1,1
노란색과 흰색이 섞인 종이봉투,노란색과 흰색이 섞인 종이봉투,1,1
노란색과 흰색이 섞인 카드 박스,노란색과 흰색이 섞인 카드 박스,1,1
녹색,녹색,3,1
녹색 과자 봉지,녹색 과자 봉지,1,1
녹색 그물망 안의 신문과 종이류,녹색 그물망 안의 신문과 종이류,1,1
녹색 뚜껑이 있는 작은 쓰레기통,녹색 뚜껑이 있는 작은 쓰레기통,1,1
녹색 문 앞 바닥에 쌓여 있다,녹색 문 앞 바닥에 쌓여 있다,1,1
녹색 비닐봉지 옆에 놓여 있다.,녹색 비닐봉지 옆에 놓여 있다.,1,1
녹색 유리병,녹색 유리병,1,1
녹색 캔,녹색 캔,1,1
녹색 캔 음료수,녹색 캔 음료수,1,1
녹색 캔 한 개,녹색 캔 한 개,1,1
녹색 캡이 달린 알루미늄 튜브,녹색 캡이 달린 알루미늄 튜브,1,1
녹색 페트병과 투명 플라스틱 컵,녹색 페트병과 투명 플라스틱 컵,1,1
"녹색, 투명, 갈색","녹색, 투명, 갈색",1,1
닥터 페퍼,닥터 페퍼,1,1
담배갑,담배갑,2,1
담배꽁초,담배꽁초,1,1
대나무 칫솔과 유리병,대나무 칫솔과 유리병,1,1
덴타탁 액티브 상자,덴타탁 액티브 상자,1,1
도넛 상자,도넛 상자,1,1
도자기류,도자기류,1,1
돌담 위에 빨간 빨대가 꽂힌 플라스틱 컵,돌담 위에 빨간 빨대가 꽂힌 플라스틱 컵,1,1
돔형 뚜껑,돔형 뚜껑,1,1
두 상자 모두 재활용 가능,두 상자 모두 재활용 가능,1,1
두 상자 모두 종이 재활용이다.,두 상자 모두 종이 재활용이다.,1,1
두 용기 모두 종이류,두 용기 모두 종이류,1,1
"두 컵 모두 플라스틱 재질이며, 노란색 빨대가 꽂혀 있다.","두 컵 모두 플라스틱 재질이며, 노란색 빨대가 꽂혀 있다.",1,1
두유,두유,5,1
두유 종이팩,두유 종이팩,1,1
둘 다 플라스틱 재질,둘 다 플라스틱 재질,1,1
디퓨저 병,디퓨저 병,1,1
딸기 맛,딸기 맛,1,1
딸기맛 스틱 캔디 상자,딸기맛 스틱 캔디 상자,1,1
딸기와 사람들 그림,딸기와 사람들 그림,1,1
뚜껑,뚜껑,1,1
뚜껑과 빨대가 모두 플라스틱 재질이다.,뚜껑과 빨대가 모두 플라스틱 재질이다.,1,1
뚜껑과 빨대가 모두 플라스틱으로 되어 있다.,뚜껑과 빨대가 모두 플라스틱으로 되어 있다.,3,1
뚜껑과 빨대가 있는 투명 컵,뚜껑과 빨대가 있는 투명 컵,1,1
뚜껑과 빨대가 있는 투명 플라스틱 컵,뚜껑과 빨대가 있는 투명 플라스틱 컵,1,1
뚜껑과 빨대가 있는 플라스틱 컵,뚜껑과 빨대가 있는 플라스틱 컵,2,1
뚜껑과 빨대가 포함되어 있다.,뚜껑과 빨대가 포함되어 있다.,1,1
뚜껑과 빨대가 플라스틱으로 되어 있다,뚜껑과 빨대가 플라스틱으로 되어 있다,1,1
"뚜껑은 투명, 빨대는 노란색","뚜껑은 투명, 빨대는 노란색",5,1
"뚜껑은 투명, 빨대는 빨간색","뚜껑은 투명, 빨대는 빨간색",1,1
"뚜껑은 투명, 빨대는 초록색","뚜껑은 투명, 빨대는 초록색",1,1
뚜껑이 열려 있음,뚜껑이 열려 있음,1,1
뚜껑이 있고 빨대가 꽂혀 있다.,뚜껑이 있고 빨대가 꽂혀 있다.,1,1
뚜껑이 있고 빨대가 꽂혀 있음,뚜껑이 있고 빨대가 꽂혀 있음,1,1
뚜껑이 있고 빨대가 노란색이다.,뚜껑이 있고 빨대가 노란색이다.,1,1
뚜껑이 있는 사각 용기,뚜껑이 있는 사각 용기,1,1
뚜껑이 있는 투명한 플라스틱 컵,뚜껑이 있는 투명한 플라스틱 컵,1,1
뚜껑이 있는 플라스틱 컵,뚜껑이 있는 플라스틱 컵,1,1
뚜껑이 있는 흰색 플라스틱 용기,뚜껑이 있는 흰색 플라스틱 용기,1,1
뚜껑이 초록색인 투명 플라스틱 병,뚜껑이 초록색인 투명 플라스틱 병,1,1
뚜껑이 플라스틱이고 빨대가 꽂혀 있다.,뚜껑이 플라스틱이고 빨대가 꽂혀 있다.,1,1
뚜껑이 플라스틱이고 빨대가 꽂혀 있음,뚜껑이 플라스틱이고 빨대가 꽂혀 있음,1,1
"라면 용기: 플라스틱, 만두 포장재: 비닐","라면 용기: 플라스틱, 만두 포장재: 비닐",1,1
레몬맛,레몬맛,1,1
록스 글라스와 하이볼 글라스,록스 글라스와 하이볼 글라스,1,1
롯데 롯세 파인애플 과자 상자,롯데 롯세 파인애플 과자 상자,1,1
롯데 마가렛트 오리지널 쿠키 상자,롯데 마가렛트 오리지널 쿠키 상자,1,1
립 케어 스틱,립 케어 스틱,1,1
립밤 용기,립밤 용기,1,1
립밤 튜브,립밤 튜브,1,1
마커 8색이 들어있는 플라스틱 케이스,마커 8색이 들어있는 플라스틱 케이스,1,1
말린 종이 뭉치,말린 종이 뭉치,1,1
말차 음료,말차 음료,1,1
망고맛,망고맛,1,1
매일 두유 종이팩,매일 두유 종이팩,1,1
매일두유,매일두유,1,1
맥주,맥주,2,1
맥주 캔,맥주 캔,2,1
멀티비타민 슈퍼샷 병,멀티비타민 슈퍼샷 병,1,1
명함,명함,1,1
모니터 클리닝 일회용 티슈 상자,모니터 클리닝 일회용 티슈 상자,1,1
모두 종이 재질이다,모두 종이 재질이다,1,1
모두 종이류로 분류된다,모두 종이류로 분류된다,1,1
모두 플라스틱 재질이다,모두 플라스틱 재질이다,1,1
몬스터 에너지 음료 캔,몬스터 에너지 음료 캔,1,1
몬스터 에너지 캔,몬스터 에너지 캔,1,1
무선 이어폰 케이스,무선 이어폰 케이스,1,1
묶여 있는 골판지 상자들,묶여 있는 골판지 상자들,1,1
문 앞 바닥에 놓여 있다,문 앞 바닥에 놓여 있다,1,1
물,물,1,1
물병,물병,3,1
물티슈 케이스,물티슈 케이스,1,1
물티슈 포장,물티슈 포장,1,1
밀키스 캔,밀키스 캔,1,1
바나나맛,바나나맛,2,1
바닥 위,바닥 위,1,1
"바닥 위, 오른쪽에 위치한 초록색 병","바닥 위, 오른쪽에 위치한 초록색 병",1,1
바닥 중앙,바닥 중앙,1,1
바닥 중앙에 쌓여 있음,바닥 중앙에 쌓여 있음,1,1
바닥에 놓여 있음,바닥에 놓여 있음,3,1
바닥에 놓인 상자 안,바닥에 놓인 상자 안,1,1
바닥에 쌓여 있다,바닥에 쌓여 있다,1,1
바닥에 펼쳐진 판지 위,바닥에 펼쳐진 판지 위,1,1
바닥에 흰색 용기,바닥에 흰색 용기,1,1
바위 위,바위 위,1,1
박스,박스,4,1
박스 상자,박스 상자,2,1
박스 안,박스 안,1,1
박스 안쪽에 들어있다,박스 안쪽에 들어있다,1,1
박스 형태,박스 형태,2,1
박스 형태로 쌓여 있음,박스 형태로 쌓여 있음,1,1
박스 형태로 접혀서 쌓여 있음,박스 형태로 접혀서 쌓여 있음,1,1
박스 형태의 종이,박스 형태의 종이,1,1
박스와 종이책자,박스와 종이책자,1,1
박스와 펼쳐진 골판지,박스와 펼쳐진 골판지,1,1
"발포 스티로폼은 플라스틱, 플라스틱 용기는 플라스틱","발포 스티로폼은 플라스틱, 플라스틱 용기는 플라스틱",1,1
버터 와플 상자,버터 와플 상자,1,1
벤치 앞 바닥에 있다.,벤치 앞 바닥에 있다.,1,1
벤치 위,벤치 위,1,1
벽 옆 바닥에 놓여 있다,벽 옆 바닥에 놓여 있다,1,1
벽과 바닥 모서리 사이에 있는 흰색 종이봉투,벽과 바닥 모서리 사이에 있는 흰색 종이봉투,1,1
벽과 배관 사이 바닥에 있음,벽과 배관 사이 바닥에 있음,1,1
"병 1개, 캔 1개","병 1개, 캔 1개",1,1
보도블록 위에 놓여 있다,보도블록 위에 놓여 있다,1,1
보라색,보라색,13,1
보라색 상자,보라색 상자,1,1
보라색 알루미늄 포장지,보라색 알루미늄 포장지,1,1
보라색 플라스틱 볼펜,보라색 플라스틱 볼펜,1,1
보라색과 분홍색,보라색과 분홍색,1,1
복사용지 뭉치,복사용지 뭉치,1,1
복숭아 맛,복숭아 맛,2,1
복숭아 맛 음료,복숭아 맛 음료,1,1
복숭아 허니 그린티 음료 파우치,복숭아 허니 그린티 음료 파우치,1,1
부분적으로 찢어진 종이,부분적으로 찢어진 종이,1,1
분홍색,분홍색,30,1
분홍색 뚜껑,분홍색 뚜껑,1,1
분홍색 종이컵 홀더,분홍색 종이컵 홀더,1,1
분홍색 종이컵과 노란색 컵홀더,분홍색 종이컵과 노란색 컵홀더,1,1
분홍색 컵 뚜껑,분홍색 컵 뚜껑,1,1
분홍색 토끼 캐릭터,분홍색 토끼 캐릭터,1,1
분홍색 화장품 상자,분홍색 화장품 상자,1,1
분홍색과 갈색의 컵 홀더 2개,분홍색과 갈색의 컵 홀더 2개,1,1
분홍색과 노란색,분홍색과 노란색,2,1
분홍색과 보라색,분홍색과 보라색,1,1
분홍색과 빨간색,분홍색과 빨간색,1,1
분홍색과 하늘색,분홍색과 하늘색,1,1
분홍색과 흰색,분홍색과 흰색,1,1
불닭볶음면,불닭볶음면,1,1
불에 타는 소화기 옆에 있는 구겨진 종이,불에 타는 소화기 옆에 있는 구겨진 종이,1,1
비닐 랩,비닐 랩,1,1
비닐 포장지,비닐 포장지,1,1
비닐 플라스틱,비닐 플라스틱,1,1
비닐(플라스틱),비닐(플라스틱),1,1
비닐류,비닐류,1,1
비닐류로 분리배출,비닐류로 분리배출,1,1
비닐봉지,비닐봉지,2,1
"비닐봉지는 플라스틱, 과자봉지는 비닐","비닐봉지는 플라스틱, 과자봉지는 비닐",1,1
비닐봉지와 뽁뽁이,비닐봉지와 뽁뽁이,2,1
비닐봉투,비닐봉투,3,1
비스킷 상자,비스킷 상자,2,1
비타민C 상자,비타민C 상자,1,1
빈 종이 상자,빈 종이 상자,1,1
빈 페트병,빈 페트병,1,1
빗,빗,1,1
빨간 무늬가 있는 플라스틱 쟁반,빨간 무늬가 있는 플라스틱 쟁반,1,1
빨간 빨대가 꽂힌 투명 컵,빨간 빨대가 꽂힌 투명 컵,2,1
빨간 수레 왼쪽 앞부분,빨간 수레 왼쪽 앞부분,1,1
빨간 쓰레받기,빨간 쓰레받기,1,1
빨간 플라스틱 쓰레받기,빨간 플라스틱 쓰레받기,1,1
빨간색,빨간색,25,1
빨간색 brrr 콜라 캔,빨간색 brrr 콜라 캔,1,1
빨간색 과자 상자,빨간색 과자 상자,2,1
빨간색 뚜껑이 있는 쓰레기통,빨간색 뚜껑이 있는 쓰레기통,1,1
빨간색 띠가 감긴 흰색 용기,빨간색 띠가 감긴 흰색 용기,1,1
빨간색 벽돌 모양 바닥 중앙,빨간색 벽돌 모양 바닥 중앙,1,1
빨간색 비닐봉투,빨간색 비닐봉투,1,1
빨간색 빨대,빨간색 빨대,1,1
"빨간색 상자, 파란색 상자, 갈색 상자","빨간색 상자, 파란색 상자, 갈색 상자",1,1
빨간색 에너지 음료 캔,빨간색 에너지 음료 캔,1,1
빨간색 원통형 포장지,빨간색 원통형 포장지,1,1
빨간색 음료 용기와 뚜껑,빨간색 음료 용기와 뚜껑,1,1
빨간색 음료 캔,빨간색 음료 캔,2,1
빨간색 종이 띠,빨간색 종이 띠,1,1
빨간색 캔,빨간색 캔,1,1
빨간색 캔 음료,빨간색 캔 음료,1,1
빨간색 플라스틱 뚜껑이 있는 금속 용기,빨간색 플라스틱 뚜껑이 있는 금속 용기,1,1
빨간색 플라스틱 의자,빨간색 플라스틱 의자,1,1
"빨간색, 흰색, 파란색, 초록색","빨간색, 흰색, 파란색, 초록색",1,1
빨간색과 갈색,빨간색과 갈색,1,1
빨간색과 노란색 글자가 적힌 종이 띠,빨간색과 노란색 글자가 적힌 종이 띠,1,1
빨간색과 은색,빨간색과 은색,1,1
빨간색과 초록색 상자,빨간색과 초록색 상자,1,1
빨간색과 흰색이 그라데이션된 종이컵,빨간색과 흰색이 그라데이션된 종이컵,1,1
빨간색과 흰색이 섞인 용기,빨간색과 흰색이 섞인 용기,1,1
빨대,빨대,6,1
빨대가 꽂힌 투명 플라스틱 컵,빨대가 꽂힌 투명 플라스틱 컵,2,1
빨대와 컵 뚜껑,빨대와 컵 뚜껑,2,1
빨대와 투명 컵,빨대와 투명 컵,2,1
빨대와 흰색 뚜껑,빨대와 흰색 뚜껑,1,1
빼빼로 상자,빼빼로 상자,2,1
뽁뽁이(에어캡),뽁뽁이(에어캡),2,1
사각형 플라스틱 트레이,사각형 플라스틱 트레이,1,1
사과 주스 캔,사과 주스 캔,2,1
사과맛,사과맛,1,1
사과맛 사이다 캔,사과맛 사이다 캔,1,1
사무용 메쉬 의자 포장 상자,사무용 메쉬 의자 포장 상자,1,1
사진 중앙 오른쪽 바닥에 쌓여 있음,사진 중앙 오른쪽 바닥에 쌓여 있음,1,1
사진 중앙과 오른쪽 바닥에 쌓여 있다,사진 중앙과 오른쪽 바닥에 쌓여 있다,1,1
삼성 복사용지 박스,삼성 복사용지 박스,1,1
삼성 쇼핑백,삼성 쇼핑백,1,1
삼양 불닭볶음면,삼양 불닭볶음면,2,1
상자 모양의 포장지,상자 모양의 포장지,1,1
생수,생수,1,1
생수 페트병,생수 페트병,1,1
생수병,생수병,3,1
서울우유,서울우유,1,1
서울우유 100%,서울우유 100%,1,1
소주병,소주병,2,1
소주병과 맥주병,소주병과 맥주병,2,1
소주병과 플라스틱 음료병,소주병과 플라스틱 음료병,1,1
손 세정제 용기,손 세정제 용기,1,1
손에 들린 음료 종이팩,손에 들린 음료 종이팩,1,1
숟가락과 젓가락,숟가락과 젓가락,1,1
술병,술병,1,1
슈퍼 사워 웜스 박스,슈퍼 사워 웜스 박스,1,1
스킨케어용 튜브형 용기,스킨케어용 튜브형 용기,1,1
스타벅스 음료 운반용 박스,스타벅스 음료 운반용 박스,1,1
스타벅스 음료 운반용 종이 케이스,스타벅스 음료 운반용 종이 케이스,2,1
스타벅스 종이컵 케이스,스타벅스 종이컵 케이스,1,1
스타벅스 종이컵 홀더,스타벅스 종이컵 홀더,1,1
스탠리 텀블러의 뚜껑,스탠리 텀블러의 뚜껑,1,1
스테인리스 컵,스테인리스 컵,1,1
스티로폼,스티로폼,27,1
스티로폼 상자 옆에 투명 비닐봉지 안에 모여 있다.,스티로폼 상자 옆에 투명 비닐봉지 안에 모여 있다.,1,1
스티로폼 용기 3개,스티로폼 용기 3개,1,1
스티로폼 재질 용기,스티로폼 재질 용기,1,1
스티로폼 박스,스티로폼박스,4,1
스팸 캔,스팸 캔,3,1
스팸 통조림,스팸 통조림,1,1
시리얼 상자,시리얼 상자,1,1
신문과 종이박스,신문과 종이박스,1,1
신문지,신문지,4,1
신문지와 골판지 박스,신문지와 골판지 박스,1,1
쓰레기 봉투 옆에 놓여 있다,쓰레기 봉투 옆에 놓여 있다,1,1
쓰레기봉투 옆 바닥에 있다,쓰레기봉투 옆 바닥에 있다,1,1
쓰레기통 옆에 기대어 있다,쓰레기통 옆에 기대어 있다,1,1
아몬드 브리즈 팩,아몬드 브리즈 팩,1,1
아보카도,아보카도,1,1
아이스 커피 컵과 뚜껑,아이스 커피 컵과 뚜껑,1,1
안경 케이스,안경 케이스,1,1
알루미늄 음료 캔,알루미늄 음료 캔,4,1
알루미늄 캔,알루미늄 캔,67,1
알루미늄 캔 - 금속류,알루미늄 캔 - 금속류,1,1
알루미늄 캔 1개,알루미늄 캔 1개,2,1
"알루미늄 캔 1개, 플라스틱 병 1개","알루미늄 캔 1개, 플라스틱 병 1개",3,1
알루미늄 캔 2개,알루미늄 캔 2개,11,1
알루미늄 캔 3개,알루미늄 캔 3개,1,1
알루미늄 캔 두 개,알루미늄 캔 두 개,1,1
"알루미늄 캔은 금속, 골판지 상자는 종이","알루미늄 캔은 금속, 골판지 상자는 종이",1,1
"알루미늄 캔은 캔류, 플라스틱 컵은 플라스틱류로 분리 배출한다.","알루미늄 캔은 캔류, 플라스틱 컵은 플라스틱류로 분리 배출한다.",1,1
알루미늄 포장지,알루미늄 포장지,1,1
알루미늄 호일,알루미늄 호일,1,1
알약 포장지,알약 포장지,2,1
앞쪽 쓰레기통,앞쪽 쓰레기통,1,1
약 40개,약 40개,1,1
얼음,얼음,3,1
얼음 조각,얼음 조각,1,1
없음,없음,2,1
에너지 드링크 캔,에너지 드링크 캔,1,1
에너지 음료 캔,에너지 음료 캔,2,1
에어캡(뽁뽁이),에어캡(뽁뽁이),1,1
에클립스 캔디 케이스,에클립스 캔디 케이스,1,1
열쇠고리,열쇠고리,1,1
영양소 파이 상자,영양소 파이 상자,1,1
오뚜기 카레 소스 상자,오뚜기 카레 소스 상자,1,1
오뜨 치즈 과자 상자,오뜨 치즈 과자 상자,1,1
오렌지 주스와 사과 주스,오렌지 주스와 사과 주스,1,1
